,Document_No,Dominant_Topic_1,Perc_Contribution_1,Topic_Keywords_1,Dominant_Topic_2,Perc_Contribution_2,Topic_Keywords_2,Dominant_Topic_3,Perc_Contribution_3,Topic_Keywords_3,Text,Question
10,10,12,0.5220999717712402,"hash, element, table, bucket, use, function, result, find, close, key",1,0.11460000276565552,"datum, store, structure, add, right, remove, data, leave, use, follow",40,0.027000000700354576,"index, represent, final, representation, apart, dictating, calculateand, parent, boat, bucketseg","['use', 'hash', 'function', 'add', 'function', 'open', 'hash', 'table', 'hash', 'table', 'index', 'bucket', 'length', 'if', 'bucket', 'overflow', 'full', 'element', 'add', 'element', 'add', 'overflow', 'buckethow', 'many', 'element', 'insert', 'overflow', 'bucket', 'follow', 'element', 'insert', 'leave', 'right', 'ie', 'first', 'insert', 'last', 'insert']","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
"
11,11,12,0.3490000069141388,"hash, element, table, bucket, use, function, result, find, close, key",58,0.04089999943971634,"for, int, follow, time, complexity, run, if, give, code, return",4,0.010999999940395355,"complexity, time, large, case, slowest, log, na, number, arrange, average","['give', 'average', 'number', 'step', 'for', 'closed', 'hash', 'table', 'linear_probing', 'find', 'item']","Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
"
12,12,4,0.3264000117778778,"complexity, time, large, case, slowest, log, na, number, arrange, average",5,0.10029999911785126,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",1,0.06509999930858612,"datum, store, structure, add, right, remove, data, leave, use, follow","['approach', 'company', 'recommend', 'fast', 'efficient', 'sort', 'often', 'deal', 'large', 'inputs', 'numerical', 'datum', 'limited', 'storage', 'sort', 'algorithm', 'suitable']","You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
"
13,13,43,0.06030000001192093,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely",5,0.017999999225139618,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",58,0.01769999973475933,"for, int, follow, time, complexity, run, if, give, code, return",['follow'],"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
"
14,14,43,0.060499999672174454,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely",5,0.017899999395012856,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",58,0.01769999973475933,"for, int, follow, time, complexity, run, if, give, code, return",['follow'],"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
"
15,15,38,0.12680000066757202,"definition, precision, factor, incorrect, accuracy, difference, theload, full, important, treebinary",22,0.0640999972820282,"condition, equal, positive, come, efficient, retain, unsorted, elementsie, relation, recurrence",40,0.06109999865293503,"index, represent, final, representation, apart, dictating, calculateand, parent, boat, bucketseg","['formal', 'definition', 'represent', 'algorithm', 'operate', 'asymptotically', 'equal']","Which formal definition represents an algorithm operating asymptotically equal as f(x)?
"
16,16,36,0.4180999994277954,"look_like, car, computer, dealership, cost, factory, company, deliver, location, important",34,0.20829999446868896,"tree, order, binary, node, search, follow, avl, traversal, type, number",12,0.022199999541044235,"hash, element, table, bucket, use, function, result, find, close, key","['morning', 'roll', 'workstation', 'unnamed', 'car', 'manufacture', 'company', 'egad', 'find', 'computer', 'strike', 'ransomwarethe', 'state', 'important', 'company', 'relate', 'file', 'encrypt', 'order', 'send', 'address', 'solve', 'follow', 'avl', 'tree', 'questiongiven', 'follow', 'avl', 'tree', 'tree', 'look_like', 'number', 'insert']","It's another Monday morning and you've just rolled up to your workstation at an unnamed car manufacturing company. But, egads! You find that all of the computers have been struck with ransomware!The ransomware states that all of your important, company related files have been encrypted. In order to decrypt them, you can either send 5 BTC to a shady BTC wallet address OR you can solve the following AVL-Tree question.Given the following AVL Tree:what will the tree look like after the number7 has been inserted?
"
17,17,20,0.1120000034570694,"statement, false, rule, follow, carey, inthis, engine, bugle, involve, pagerank",5,0.08089999854564667,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",38,0.05079999938607216,"definition, precision, factor, incorrect, accuracy, difference, theload, full, important, treebinary","['follow', 'statement', 'regard', 'sort', 'incorrect']","Which one of the following statements regarding sorting is incorrect?
"
18,18,59,0.0820000022649765,"chicken, start, plump, like, want, weight, could, book, update, tell",30,0.06870000064373016,"graph, name, number, edge, vertex, undirected, want, however, direct, main",23,0.014700000174343586,"letf, heapsort, invent, mergesort, prefer, var, traverse, nearly, max, arraylist","['edge', 'weight', 'equally']","How does a Dijkstra's Algorithm behave when all of the edges are weighted equally?
"
19,19,43,0.18619999289512634,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely",32,0.060100000351667404,"valid, leaf, apply, try, advice, password, context, stand, treesa, root",31,0.019099999219179153,"lane, skip, pass, skiplist, change, combined, organise, sum, ask, pointer","['give', 'least', 'exactly', 'apply', 'follow', 'true']","Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
"
20,20,34,0.23149999976158142,"tree, order, binary, node, search, follow, avl, traversal, type, number",14,0.05139999836683273,"value, lecture, low, deletion, possible, slide, bind, lower, state, week",19,0.04479999840259552,"insertion, point, end, route, choose, invariant, da, logn, algorithmsa, deletion","['build', 'avl', 'tree', 'follow', 'value', 'value', 'root', 'node', 'point']","Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
"
21,21,58,0.06069999933242798,"for, int, follow, time, complexity, run, if, give, code, return",17,0.060100000351667404,"big, notation, assume, comparison, merge, omega, theta, off, transitivity, convert",5,0.05979999899864197,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable","['good', 'for', 'merge']","What is the best and worst case for Merge Sort?
"
22,22,55,0.06030000001192093,"array, slow, problem, random, may, integer, access, limit, endb, face",40,0.05999999865889549,"index, represent, final, representation, apart, dictating, calculateand, parent, boat, bucketseg",59,0.05829999968409538,"chicken, start, plump, like, want, weight, could, book, update, tell","['could', 'represent', 'array']","Which of the max heaps A-H could be represented in an array?
"
23,23,5,0.23109999299049377,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",22,0.14839999377727509,"condition, equal, positive, come, efficient, retain, unsorted, elementsie, relation, recurrence",34,0.04569999873638153,"tree, order, binary, node, search, follow, avl, traversal, type, number","['give', 'integ', 'randomly', 'order', 'time', 'complexity', 'sort', 'come', 'efficient', 'sort', 'algorithm', 'give', 'condition']","Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
"
24,24,12,0.10279999673366547,"hash, element, table, bucket, use, function, result, find, close, key",26,0.08529999852180481,"need, number, must, real, company, system, create, large, allow, quick",3,0.07169999927282333,"method, call, always, line, note, deleting, already, term, null, doessomethe","['follow', 'method', 'use', 'find', 'number', 'phone', 'book', 'closely', 'resemble']","Which of the following does the method used to find a number in a phone book most closely resemble?
"
25,25,34,0.33230000734329224,"tree, order, binary, node, search, follow, avl, traversal, type, number",43,0.05400000140070915,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely",5,0.01140000019222498,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable","['consider', 'follow', 'binary', 'search', 'treewhen', 'complete', 'post', 'order', 'traversal', 'correct', 'order']","Consider the following binary search treeWhen completing a post order traversal what is the correct order
"
26,26,34,0.3815999925136566,"tree, order, binary, node, search, follow, avl, traversal, type, number",1,0.04529999941587448,"datum, store, structure, add, right, remove, data, leave, use, follow",8,0.010999999940395355,"list, link, array, item, would, remove, front, faster, middle, new","['consider', 'avl', 'tree', 'follow', 'insert', 'give', 'order', 'remove', 'would', 'output', 'order', 'traversal', 'tree']","Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
"
27,27,20,0.11379999667406082,"statement, false, rule, follow, carey, inthis, engine, bugle, involve, pagerank",58,0.07859999686479568,"for, int, follow, time, complexity, run, if, give, code, return",17,0.0551999993622303,"big, notation, assume, comparison, merge, omega, theta, off, transitivity, convert","['follow', 'rule', 'for', 'big', 'false']","Which of the following rules for big O is FALSE?
"
28,28,30,0.5519000291824341,"graph, name, number, edge, vertex, undirected, want, however, direct, main",1,0.08160000294446945,"datum, store, structure, add, right, remove, data, leave, use, follow",12,0.061500001698732376,"hash, element, table, bucket, use, function, result, find, close, key","['organise', 'party', 'close', 'friend', 'workplace', 'try', 'figure', 'seating', 'plan', 'work', 'send', 'invite', 'invitee', 'know', 'number', 'friendship', 'large', 'number', 'invitee', 'think', 'graph', 'would', 'help', 'figure', 'seating', 'plan', 'invite', 'vertex', 'friendship', 'person', 'edgesalice', 'also', 'want', 'store', 'name', 'along', 'employee', 'would', 'number', 'digit', 'number', 'order', 'send', 'email', 'invite', 'for', 'partywhich', 'data', 'structure', 'suitable', 'for', 'use']","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
"
29,29,34,0.1242000013589859,"tree, order, binary, node, search, follow, avl, traversal, type, number",12,0.11919999867677689,"hash, element, table, bucket, use, function, result, find, close, key",58,0.0828000009059906,"for, int, follow, time, complexity, run, if, give, code, return","['run', 'time', 'try', 'find', 'element', 'avl', 'tree', 'consist', 'element']","What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
"
30,30,58,0.22699999809265137,"for, int, follow, time, complexity, run, if, give, code, return",5,0.10260000079870224,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",46,0.05820000171661377,"describe, look, process, sub, mergesort, takes_seconds, returnmove, repeat, typically, arbitrary","['follow', 'good', 'describe', 'run', 'time', 'for', 'while', 'good', 'luck', 'exam', 'for']","Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
"
31,31,5,0.07270000129938126,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",2,0.01600000075995922,"letf, heapsort, invent, mergesort, prefer, var, traverse, nearly, max, arraylist",15,0.01600000075995922,"letf, heapsort, invent, mergesort, prefer, var, traverse, nearly, max, arraylist","['theoretical', 'analysis', 'algorithm']","What is theoretical analysis of an algorithm?
"
32,32,5,0.3050000071525574,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",11,0.047200001776218414,"select, option, andcomplexity, technique, avoid, design, proper, match, insertionsort, check",30,0.04089999943971634,"graph, name, number, edge, vertex, undirected, want, however, direct, main","['list', 'sort', 'algorithm', 'consider', 'stable', 'however', 'unstable', 'depend', 'implementation', 'select', 'sort']","Listed below are sorting algorithms that are considered to be stable. However, one of them can be unstable depending on the implementation. Please select that sort.
"
33,33,12,0.3061999976634979,"hash, element, table, bucket, use, function, result, find, close, key",24,0.10189999639987946,"hashtable, prime, less, whole, popular, sorting, bucketsie, rather, orderthe, loadl",1,0.0835999995470047,"datum, store, structure, add, right, remove, data, leave, use, follow","['consider', 'close', 'hashtable', 'linear_probe', 'suppose', 'want', 'store', 'item', 'want', 'step', 'find', 'item', 'less', 'consider', 'loadl', 'small', 'whole', 'number', 'bucket']","Consider a closed hashtable H with linear probing. Suppose we want to store up to 900 items in H, and we want theaverageamount of steps to find any item to be less than 2.By considering the loadL, what is the smallest (whole) number of buckets H can have?
"
34,34,11,0.22169999778270721,"select, option, andcomplexity, technique, avoid, design, proper, match, insertionsort, check",5,0.08179999887943268,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",3,0.049300000071525574,"method, call, always, line, note, deleting, already, term, null, doessomethe","['many', 'method', 'consider', 'design', 'select', 'option', 'proper', 'design', 'technique']","There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
"
35,35,5,0.49000000953674316,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",58,0.045499999076128006,"for, int, follow, time, complexity, run, if, give, code, return",43,0.032099999487400055,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely","['follow', 'sort', 'algorithm', 'equivalent', 'best', 'bad', 'average', 'time', 'unstable', 'for', 'example', 'selection', 'sort', 'best', 'bad', 'average', 'time', 'complexity', 'also', 'stable', 'thus', 'would', 'correct', 'answer', 'if']","Of the following sorting algorithms, which one has equivalent Best, Worst and Average time complexitiesandis not unstable?(For example, Selection Sort has a Best, Worst and Average time complexity of n^2. It is also stable, and thus would be a correct answer if it were there.)
"
36,36,8,0.5288000106811523,"list, link, array, item, would, remove, front, faster, middle, new",1,0.0966000035405159,"datum, store, structure, add, right, remove, data, leave, use, follow",29,0.03689999878406525,"fastest, operation, next, object, make, node, head, public, particular, listnode","['follow', 'process', 'datum', 'structure', 'list', 'array', 'complete', 'follow', 'task', 'describe', 'fast', 'task', 'get', 'item', 'datum', 'structuretask', 'insert', 'new', 'item', 'front', 'data', 'structuretask', 'remove', 'item', 'middle', 'datum', 'answer', 'would', 'imply', 'link', 'list', 'perform', 'task', 'fast', 'array', 'perform', 'task', 'fastest', 'link', 'list', 'perform', 'task', 'fastest', 'correct', 'answer']","Of the following processes, which data structure (Singly Linked Lists or Arrays) can complete the following tasks described faster:Task 1: Getting to the 1000th item in the data structure.Task 2: Inserting a new item at the front of the data structure.Task 2: Removing an item from the middle of the data structure.Example: An answer of [LL : A : LL] would imply that the Linked List performed task 1 fastest, the Array performed task 2 fastest, and the Linked List performed task 3 fastest.(Not the correct answer).
"
37,37,9,0.08950000256299973,"fact, replace, cryptography, alice, hint, question, public, ensure, already, prefer",12,0.08449999988079071,"hash, element, table, bucket, use, function, result, find, close, key",43,0.02930000051856041,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely","['calculate', 'give', 'hint', 'fact']","Calculate given that . (Hint: Use the fact that [x^p= x mod p] when p is prime).
"
38,38,0,0.016699999570846558,"ahead, also, least, perfect, divisible, coursework, power, even, assume, next",1,0.016699999570846558,"datum, store, structure, add, right, remove, data, leave, use, follow",2,0.016699999570846558,"letf, heapsort, invent, mergesort, prefer, var, traverse, nearly, max, arraylist",[],"What isDijkstra's algorithm?
"
39,39,0,0.016699999570846558,"ahead, also, least, perfect, divisible, coursework, power, even, assume, next",1,0.016699999570846558,"datum, store, structure, add, right, remove, data, leave, use, follow",2,0.016699999570846558,"letf, heapsort, invent, mergesort, prefer, var, traverse, nearly, max, arraylist",[],"What isDijkstra's algorithm?
"
40,40,5,0.14489999413490295,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",43,0.07819999754428864,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely",14,0.07500000298023224,"value, lecture, low, deletion, possible, slide, bind, lower, state, week","['decide', 'run', 'sort', 'algorithm', 'row', 'name', 'respectively', 'give', 'function', 'would', 'take', 'large', 'number', 'comparison', 'assume', 'datum', 'begin', 'situation', 'week', 'slide']","Bob decides to run three sorting algorithms in a row, named a, b and c respectively. Given n = 16, which of these functions would takes the largest number of comparisons assuming the data begins in a ""worst case"" situation (2019 week 7a slide 5)
"
41,41,55,0.24040000140666962,"array, slow, problem, random, may, integer, access, limit, endb, face",5,0.1143999993801117,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",12,0.11420000344514847,"hash, element, table, bucket, use, function, result, find, close, key","['consider', 'follow', 'problem', 'give', 'array', 'integer', 'find', 'maximum', 'product', 'integer', 'array', 'for', 'example', 'consider', 'array', 'maximum', 'product', 'form', 'pairwhat', 'complexity', 'efficient', 'algorithm', 'solve', 'problem']","Consider the following problem:Given an array of integers, find the maximum product of two integers in the array. For example, consider the array [ -10, -3, 5, 6 , -2 ]. The maximum product is formed by either the (-10, 3) or (5, 6) pair.What is the complexity of the most efficient algorithm that solves this problem?
"
42,42,34,0.3506999909877777,"tree, order, binary, node, search, follow, avl, traversal, type, number",12,0.11209999769926071,"hash, element, table, bucket, use, function, result, find, close, key",30,0.03400000184774399,"graph, name, number, edge, vertex, undirected, want, however, direct, main","['consider', 'unordered', 'complete', 'binary', 'tree', 'contain', 'letter', 'know', 'traversal', 'tree', 'result', 'sequence', 'postorder', 'traversal', 'result', 'sequence', 'result', 'inorder', 'traversal']","Consider an unordered complete binary tree containing all letters from A to G. Knowing that a preorder traversal of the tree results in the sequence [ B, G, C, D, A, E, F ] and a postorder traversal results in the sequence [C, D, G, E, F, A, B ], what results from an inorder traversal?
"
43,43,12,0.11299999803304672,"hash, element, table, bucket, use, function, result, find, close, key",17,0.10869999974966049,"big, notation, assume, comparison, merge, omega, theta, off, transitivity, convert",34,0.07209999859333038,"tree, order, binary, node, search, follow, avl, traversal, type, number","['use', 'ascend', 'order', 'merge', 'inputs', 'require', 'high', 'possible', 'number', 'comparison']","Using an ascending order merge sort, which of these inputs requires the highest possible number of comparisons?
"
44,44,34,0.19660000503063202,"tree, order, binary, node, search, follow, avl, traversal, type, number",14,0.08640000224113464,"value, lecture, low, deletion, possible, slide, bind, lower, state, week",5,0.048700001090765,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable","['maximum', 'perfectly', 'balance', 'search', 'tree', 'size', 'lecture', 'slide']","What is the maximum height of a perfectly balanced search tree of size n (2019 Lecture 8a slide 28)
"
45,45,5,0.23270000517368317,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",12,0.09000000357627869,"hash, element, table, bucket, use, function, result, find, close, key",8,0.012199999764561653,"list, link, array, item, would, remove, front, faster, middle, new","['bubble', 'take', 'list', 'element', 'long', 'take', 'sort', 'element']","A bubble sort algorithm takes 2ms to sort a list of 100 elements. How long should it take to sort 100000 (105) elements?
"
46,46,34,0.2418999969959259,"tree, order, binary, node, search, follow, avl, traversal, type, number",12,0.055799998342990875,"hash, element, table, bucket, use, function, result, find, close, key",46,0.05169999971985817,"describe, look, process, sub, mergesort, takes_seconds, returnmove, repeat, typically, arbitrary","['order', 'would', 'element', 'follow', 'tree', 'process', 'apost', 'order', 'traversal']","What order would the elements of the following tree be processed in aPost Order Traversal? 5 / \ 3 7 / / \ 2 6 9
"
47,47,34,0.1665000021457672,"tree, order, binary, node, search, follow, avl, traversal, type, number",12,0.1274999976158142,"hash, element, table, bucket, use, function, result, find, close, key",30,0.012600000016391277,"graph, name, number, edge, vertex, undirected, want, however, direct, main","['maximum', 'possible', 'number', 'element', 'binary', 'tree', 'depth']","What is the maximum possible number of elements in a binary tree of depth 7?
"
48,48,12,0.3589000105857849,"hash, element, table, bucket, use, function, result, find, close, key",19,0.043299999088048935,"insertion, point, end, route, choose, invariant, da, logn, algorithmsa, deletion",14,0.042500000447034836,"value, lecture, low, deletion, possible, slide, bind, lower, state, week","['many', 'different', 'insertion', 'sequence', 'key', 'value', 'use', 'hash', 'function', 'close', 'hash', 'table', 'linear_probing', 'give']","How many different insertion sequences of the key values, using the hash function h(k)=k mod 10, will result in the closed hash table with linear probing given below?
"
49,49,34,0.09300000220537186,"tree, order, binary, node, search, follow, avl, traversal, type, number",38,0.07419999688863754,"definition, precision, factor, incorrect, accuracy, difference, theload, full, important, treebinary",43,0.05209999904036522,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely","['select', 'correct', 'definition', 'for', 'full', 'binary', 'tree']","Select the correct definition for a full binary tree.
"
50,50,5,0.13860000669956207,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",58,0.12890000641345978,"for, int, follow, time, complexity, run, if, give, code, return",12,0.062300000339746475,"hash, element, table, bucket, use, function, result, find, close, key","['list', 'quick', 'average', 'run', 'time', 'for', 'insert', 'if']","Which one of the List has the quickest average run time for insert() if n >= 1000;
"
51,51,5,0.2632000148296356,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",1,0.22750000655651093,"datum, store, structure, add, right, remove, data, leave, use, follow",59,0.08889999985694885,"chicken, start, plump, like, want, weight, could, book, update, tell","['imagine', 'sort', 'conscientious', 'computer', 'scientist', 'know', 'well', 'bubble', 'sort', 'algorithm', 'however', 'also', 'tire', 'want', 'implement', 'much', 'complex', 'algorithm', 'decide', 'sort', 'book', 'pass', 'leave', 'right', 'use', 'bubble', 'sort', 'find', 'last', 'book', 'pass', 'right', 'leave', 'use', 'bubble', 'sort', 'find', 'first', 'book', 'actually', 'faster', 'simple', 'bubble', 'sort']","Imagine you are sorting a bookshelf. As you are a conscientious computer scientist, you know better than to use the bubble sort algorithm. However, you are also very tired and don't want to implement a much more complex algorithm. You decide to sort the books by doing one pass from left to right using bubble sort to find the last book, and then another pass from right to left, again using bubble sort, to find the first book. Is this actually faster than doing a simple bubble sort?
"
52,52,14,0.16050000488758087,"value, lecture, low, deletion, possible, slide, bind, lower, state, week",12,0.05310000106692314,"hash, element, table, bucket, use, function, result, find, close, key",30,0.04989999905228615,"graph, name, number, edge, vertex, undirected, want, however, direct, main","['fermat', 'little', 'theorem', 'specifically', 'slide', 'calculate']","Use Fermat's little theorem (specifically xp = x (mod p) where p is prime, Week 11b 2019, slide 12)to calculate 360% 29.
"
