,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Question
10,10,29.0,0.3440999984741211,"hash, table, function, number, bucket, find, use, close, step, insert","['use', 'hash', 'function', 'add', 'function', 'open', 'hash', 'table', 'hash', 'table', 'index', 'bucket', 'length', 'if', 'bucket', 'overflow', 'full', 'element', 'add', 'element', 'add', 'overflow', 'buckethow', 'many', 'element', 'insert', 'overflow', 'bucket', 'follow', 'element', 'insert', 'leave', 'right', 'ie', 'first', 'insert', 'last', 'insert']","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
"
11,11,29.0,0.34450000524520874,"hash, table, function, number, bucket, find, use, close, step, insert","['give', 'average', 'number', 'step', 'for', 'closed', 'hash', 'table', 'linear_probing', 'find', 'item']","Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
"
12,12,12.0,0.27309998869895935,"datum, structure, item, remove, data, implement, add, fast, follow, make","['approach', 'company', 'recommend', 'fast', 'efficient', 'sort', 'often', 'deal', 'large', 'inputs', 'numerical', 'datum', 'limited', 'storage', 'sort', 'algorithm', 'suitable']","You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
"
13,13,35.0,0.05420000106096268,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal",['follow'],"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
"
14,14,35.0,0.054099999368190765,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal",['follow'],"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
"
15,15,49.0,0.11999999731779099,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","['formal', 'definition', 'represent', 'algorithm', 'operate', 'asymptotically', 'equal']","Which formal definition represents an algorithm operating asymptotically equal as f(x)?
"
16,16,31.0,0.47049999237060547,"tree, node, binary, follow, avl, traversal, order, search, number, root","['morning', 'roll', 'workstation', 'unnamed', 'car', 'manufacture', 'company', 'egad', 'find', 'computer', 'strike', 'ransomwarethe', 'state', 'important', 'company', 'relate', 'file', 'encrypt', 'order', 'send', 'address', 'solve', 'follow', 'avl', 'tree', 'questiongiven', 'follow', 'avl', 'tree', 'tree', 'look_like', 'number', 'insert']","It's another Monday morning and you've just rolled up to your workstation at an unnamed car manufacturing company. But, egads! You find that all of the computers have been struck with ransomware!The ransomware states that all of your important, company related files have been encrypted. In order to decrypt them, you can either send 5 BTC to a shady BTC wallet address OR you can solve the following AVL-Tree question.Given the following AVL Tree:what will the tree look like after the number7 has been inserted?
"
17,17,16.0,0.12280000001192093,"statement, follow, false, child, rule, position, new, mean, involve, mistake","['follow', 'statement', 'regard', 'sort', 'incorrect']","Which one of the following statements regarding sorting is incorrect?
"
18,18,24.0,0.10270000249147415,"determine, start, want, divide, line, word, weight, grain, need, build","['edge', 'weight', 'equally']","How does a Dijkstra's Algorithm behave when all of the edges are weighted equally?
"
19,19,47.0,0.06360000371932983,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","['give', 'least', 'exactly', 'apply', 'follow', 'true']","Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
"
20,20,31.0,0.1906999945640564,"tree, node, binary, follow, avl, traversal, order, search, number, root","['build', 'avl', 'tree', 'follow', 'value', 'value', 'root', 'node', 'point']","Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
"
21,21,8.0,0.09790000319480896,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","['good', 'bad', 'case', 'for', 'merge']","What is the best and worst case for Merge Sort?
"
22,22,18.0,0.06040000170469284,"call, represent, whereis, areedge, natural, assign, calculateand, view, content, top","['could', 'represent', 'array']","Which of the max heaps A-H could be represented in an array?
"
23,23,47.0,0.15960000455379486,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","['give', 'integ', 'randomly', 'order', 'bad', 'case', 'time', 'complexity', 'sort', 'come', 'efficient', 'sort', 'algorithm', 'give', 'condition']","Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
"
24,24,4.0,0.17229999601840973,"store, must, number, able, book, like, quickly, application, product, could","['follow', 'method', 'use', 'find', 'number', 'phone', 'book', 'closely', 'resemble']","Which of the following does the method used to find a number in a phone book most closely resemble?
"
25,25,31.0,0.18569999933242798,"tree, node, binary, follow, avl, traversal, order, search, number, root","['consider', 'follow', 'binary', 'search', 'treewhen', 'complete', 'post', 'order', 'traversal', 'correct', 'order']","Consider the following binary search treeWhen completing a post order traversal what is the correct order
"
26,26,31.0,0.3359000086784363,"tree, node, binary, follow, avl, traversal, order, search, number, root","['consider', 'avl', 'tree', 'follow', 'insert', 'give', 'order', 'remove', 'would', 'output', 'order', 'traversal', 'tree']","Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
"
27,27,16.0,0.12479999661445618,"statement, follow, false, child, rule, position, new, mean, involve, mistake","['follow', 'rule', 'for', 'big', 'false']","Which of the following rules for big O is FALSE?
"
28,28,48.0,0.6122000217437744,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","['organise', 'party', 'close', 'friend', 'workplace', 'try', 'figure', 'seating', 'plan', 'work', 'send', 'invite', 'invitee', 'know', 'number', 'friendship', 'large', 'number', 'invitee', 'think', 'graph', 'would', 'help', 'figure', 'seating', 'plan', 'invite', 'vertex', 'friendship', 'person', 'edgesalice', 'also', 'want', 'store', 'name', 'along', 'employee', 'would', 'number', 'digit', 'number', 'order', 'send', 'email', 'invite', 'for', 'partywhich', 'data', 'structure', 'suitable', 'for', 'use']","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
"
29,29,31.0,0.14180000126361847,"tree, node, binary, follow, avl, traversal, order, search, number, root","['bad', 'case', 'run', 'time', 'try', 'find', 'element', 'avl', 'tree', 'consist', 'element']","What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
"
30,30,27.0,0.10159999877214432,"for, follow, int, code, runtime, method, get, correctly, property, class","['follow', 'good', 'describe', 'run', 'time', 'for', 'while', 'good', 'luck', 'exam', 'for']","Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
"
31,31,15.0,0.10100000351667404,"difference, choice, set, programming, quickly, can, critical, powerful, safety, application","['theoretical', 'analysis', 'algorithm']","What is theoretical analysis of an algorithm?
"
32,32,35.0,0.21220000088214874,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['list', 'sort', 'algorithm', 'consider', 'stable', 'however', 'unstable', 'depend', 'implementation', 'select', 'sort']","Listed below are sorting algorithms that are considered to be stable. However, one of them can be unstable depending on the implementation. Please select that sort.
"
33,33,29.0,0.28999999165534973,"hash, table, function, number, bucket, find, use, close, step, insert","['consider', 'close', 'hashtable', 'linear_probe', 'suppose', 'want', 'store', 'item', 'want', 'step', 'find', 'item', 'less', 'consider', 'loadl', 'small', 'whole', 'number', 'bucket']","Consider a closed hashtable H with linear probing. Suppose we want to store up to 900 items in H, and we want theaverageamount of steps to find any item to be less than 2.By considering the loadL, what is the smallest (whole) number of buckets H can have?
"
34,34,25.0,0.22759999334812164,"none, option, select, avoid, andcomplexity, formation, skew, technique, collision, design","['many', 'method', 'consider', 'design', 'select', 'option', 'proper', 'design', 'technique']","There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
"
35,35,35.0,0.39089998602867126,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['follow', 'sort', 'algorithm', 'equivalent', 'best', 'bad', 'average', 'time', 'unstable', 'for', 'example', 'selection', 'sort', 'best', 'bad', 'average', 'time', 'complexity', 'also', 'stable', 'thus', 'would', 'correct', 'answer', 'if']","Of the following sorting algorithms, which one has equivalent Best, Worst and Average time complexitiesandis not unstable?(For example, Selection Sort has a Best, Worst and Average time complexity of n^2. It is also stable, and thus would be a correct answer if it were there.)
"
36,36,45.0,0.3391000032424927,"list, link, array, follow, middle, insert, faster, would, add, singly","['follow', 'process', 'datum', 'structure', 'singly', 'link', 'list', 'array', 'complete', 'follow', 'task', 'describe', 'fast', 'task', 'get', 'item', 'datum', 'structuretask', 'insert', 'new', 'item', 'front', 'data', 'structuretask', 'remove', 'item', 'middle', 'datum', 'answer', 'would', 'imply', 'link', 'list', 'fast', 'array', 'fastest', 'link', 'list', 'fast', 'correct', 'answer']","Of the following processes, which data structure (Singly Linked Lists or Arrays) can complete the following tasks described faster:Task 1: Getting to the 1000th item in the data structure.Task 2: Inserting a new item at the front of the data structure.Task 2: Removing an item from the middle of the data structure.Example: An answer of [LL : A : LL] would imply that the Linked List performed task 1 fastest, the Array performed task 2 fastest, and the Linked List performed task 3 fastest.(Not the correct answer).
"
37,37,6.0,0.09549999982118607,"run, second, long, implementation, likely, record, awhich, definitely, refer, instruction","['calculate', 'give', 'hint', 'fact']","Calculate given that . (Hint: Use the fact that [x^p= x mod p] when p is prime).
"
38,38,0.0,0.016699999570846558,"type, point, traverse, coordinate, interface, group, happen, route, various, authority",[],"What isDijkstra's algorithm?
"
39,39,0.0,0.016699999570846558,"type, point, traverse, coordinate, interface, group, happen, route, various, authority",[],"What isDijkstra's algorithm?
"
40,40,7.0,0.12849999964237213,"comparison, show, skiplist, factory, memory, resource, exactly, respectively, certain, produce","['decide', 'run', 'sort', 'algorithm', 'row', 'name', 'respectively', 'give', 'function', 'would', 'take', 'large', 'number', 'comparison', 'assume', 'datum', 'begin', 'bad', 'case', 'situation', 'week_slide']","Bob decides to run three sorting algorithms in a row, named a, b and c respectively. Given n = 16, which of these functions would takes the largest number of comparisons assuming the data begins in a ""worst case"" situation (2019 week 7a slide 5)
"
41,41,59.0,0.17270000278949738,"int, while, return, integer, problem, random, count, sum, birthday, test","['consider', 'follow', 'problem', 'give', 'array', 'integer', 'find', 'maximum', 'product', 'integer', 'array', 'for', 'example', 'consider', 'array', 'maximum', 'product', 'form', 'pairwhat', 'complexity', 'efficient', 'algorithm', 'solve', 'problem']","Consider the following problem:Given an array of integers, find the maximum product of two integers in the array. For example, consider the array [ -10, -3, 5, 6 , -2 ]. The maximum product is formed by either the (-10, 3) or (5, 6) pair.What is the complexity of the most efficient algorithm that solves this problem?
"
42,42,26.0,0.27239999175071716,"result, body, num, sequence, many, positive, preform, operator, dosomethe, note","['consider', 'unordered', 'complete', 'binary', 'tree', 'contain', 'letter', 'know', 'traversal', 'tree', 'result', 'sequence', 'postorder', 'traversal', 'result', 'sequence', 'result', 'inorder', 'traversal']","Consider an unordered complete binary tree containing all letters from A to G. Knowing that a preorder traversal of the tree results in the sequence [ B, G, C, D, A, E, F ] and a postorder traversal results in the sequence [C, D, G, E, F, A, B ], what results from an inorder traversal?
"
43,43,41.0,0.14579999446868896,"sort, take, use, selection, many, order, would, bubble, quick, ascend","['use', 'ascend', 'order', 'merge', 'inputs', 'require', 'high', 'possible', 'number', 'comparison']","Using an ascending order merge sort, which of these inputs requires the highest possible number of comparisons?
"
44,44,31.0,0.11680000275373459,"tree, node, binary, follow, avl, traversal, order, search, number, root","['maximum', 'perfectly', 'balance', 'search', 'tree', 'size', 'lecture', 'slide']","What is the maximum height of a perfectly balanced search tree of size n (2019 Lecture 8a slide 28)
"
45,45,41.0,0.1615999937057495,"sort, take, use, selection, many, order, would, bubble, quick, ascend","['bubble', 'take', 'list', 'element', 'long', 'take', 'sort', 'element']","A bubble sort algorithm takes 2ms to sort a list of 100 elements. How long should it take to sort 100000 (105) elements?
"
46,46,31.0,0.25459998846054077,"tree, node, binary, follow, avl, traversal, order, search, number, root","['order', 'would', 'element', 'follow', 'tree', 'process', 'apost', 'order', 'traversal']","What order would the elements of the following tree be processed in aPost Order Traversal? 5 / \ 3 7 / / \ 2 6 9
"
47,47,31.0,0.12020000070333481,"tree, node, binary, follow, avl, traversal, order, search, number, root","['maximum', 'possible', 'number', 'element', 'binary', 'tree', 'depth']","What is the maximum possible number of elements in a binary tree of depth 7?
"
48,48,29.0,0.2994000017642975,"hash, table, function, number, bucket, find, use, close, step, insert","['many', 'different', 'insertion', 'sequence', 'key', 'value', 'use', 'hash', 'function', 'close', 'hash', 'table', 'linear_probing', 'give']","How many different insertion sequences of the key values, using the hash function h(k)=k mod 10, will result in the closed hash table with linear probing given below?
"
49,49,31.0,0.08969999849796295,"tree, node, binary, follow, avl, traversal, order, search, number, root","['select', 'correct', 'definition', 'for', 'full', 'binary', 'tree']","Select the correct definition for a full binary tree.
"
50,50,45.0,0.09309999644756317,"list, link, array, follow, middle, insert, faster, would, add, singly","['list', 'quick', 'average', 'run', 'time', 'for', 'insert', 'if']","Which one of the List has the quickest average run time for insert() if n >= 1000;
"
51,51,38.0,0.3580999970436096,"right, leave, choose, partition, subtree, requirement, differ, left, imagine, static","['imagine', 'sort', 'conscientious', 'computer', 'scientist', 'know', 'well', 'bubble', 'sort', 'algorithm', 'however', 'also', 'tire', 'want', 'implement', 'much', 'complex', 'algorithm', 'decide', 'sort', 'book', 'pass', 'leave', 'right', 'use', 'bubble', 'sort', 'find', 'last', 'book', 'pass', 'right', 'leave', 'use', 'bubble', 'sort', 'find', 'first', 'book', 'actually', 'faster', 'simple', 'bubble', 'sort']","Imagine you are sorting a bookshelf. As you are a conscientious computer scientist, you know better than to use the bubble sort algorithm. However, you are also very tired and don't want to implement a much more complex algorithm. You decide to sort the books by doing one pass from left to right using bubble sort to find the last book, and then another pass from right to left, again using bubble sort, to find the first book. Is this actually faster than doing a simple bubble sort?
"
52,52,42.0,0.19990000128746033,"good, fastest, nlog, calculate, amortise, worst, car, cost, dealership, factory","['fermat', 'little', 'theorem', 'specifically', 'calculate']","Use Fermat's little theorem (specifically xp = x (mod p) where p is prime, Week 11b 2019, slide 12)to calculate 360% 29.
"
53,53,53.0,0.7343999743461609,"need, company, for, real, system, large, tell, entry, priority, find","['hire', 'housing', 'create', 'system', 'allow', 'keep', 'track', 'address', 'currently', 'available', 'spend', 'many', 'decade', 'support', 'people', 'area', 'find', 'perfect', 'home', 'recently', 'begin', 'fall', 'behind', 'new', 'tech', 'base', 'company', 'determine', 'catch', 'ensure', 'provide', 'high', 'quality', 'service', 'canthe', 'system', 'require', 'follow', 'quality', 'must', 'quick', 'search', 'for', 'give', 'address', 'find', 'whether', 'currently', 'store', 'system', 'access', 'detail', 'speed', 'important', 'space', 'use', 'ensure', 'user', 'leave', 'wait', 'for', 'long', 'while', 'system', 'run', 'easy', 'add', 'new', 'address', 'system', 'become', 'available', 'remove', 'take', 'market', 'datum', 'need', 'sorted', 'employee', 'personally', 'work', 'customer', 'recommend', 'different', 'home', 'search', 'for', 'entry', 'directly', 'rough', 'estimate', 'many', 'address', 'need', 'store', 'give', 'time', 'number', 'tend', 'vary', 'large', 'margin', 'throughout', 'year', 'due', 'seasonal', 'buyerswhich', 'datum', 'structure', 'implement', 'new', 'system']","You have been hired by the Housing Opportunities of Northern Delaware Association to create a system which allows them to keep track of which addresses they currently have available. They have spent many decades supporting the people of the area in finding the perfect home, but have recently began to fall behind newer tech-based companies, and are determined to catch up and ensure they provide the highest quality service they can.The system is required to have the following qualities:- It must be quick to search for a given address, to find whether or not it is currently stored in the system, and to access its details. Speed is more important than space used, to ensure users are not left waiting for too long while the system runs.- It should be easy to add new addresses to the system as they become available, and to remove them once they are taken off the market.- The data does not need to be sorted, as employees personally work with each customer to recommend different homes, and so will be searching for entries directly.- You have only a rough estimate of how many addresses will need to be stored at a given time, and the number tends to vary by a large margin throughout the year due to seasonal buyers.Which data structure should you implement in the new system?
"
54,54,31.0,0.13590000569820404,"tree, node, binary, follow, avl, traversal, order, search, number, root","['many', 'case', 'remove', 'node', 'binary', 'search', 'tree']","How many cases are there when we are removing a node from a binary search tree?
"
55,55,31.0,0.1599999964237213,"tree, node, binary, follow, avl, traversal, order, search, number, root","['many', 'node', 'access', 'search', 'for', 'number', 'follow', 'tree']","How many nodes are accessed during a breadth-first search for the number 11 in the following tree:
"
56,56,8.0,0.13699999451637268,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","['follow', 'data', 'structure', 'bad', 'case', 'space', 'complexity']","Which of the following data structures has a worst case space complexity of O(n log n)?
"
57,57,1.0,0.1071000024676323,"order, consider, runtime, input, size, constant, post, function, print, correct","['follow', 'sort', 'algorithm', 'order', 'correct', 'descending', 'order', 'term', 'good', 'run', 'time', 'if']","Which one of the following sorting algorithms order is the correct descending order in term of best run time if n >= 100?
"
58,58,35.0,0.14180000126361847,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['example', 'follow', 'type', 'algorithm']","Dijkstra algorithm is a example of which of the following type of algorithm
"
59,59,31.0,0.2498999983072281,"tree, node, binary, follow, avl, traversal, order, search, number, root","['pre', 'order', 'follow', 'tree', 'give', 'output']","Pre-Order traversal on the following tree will give which output? 9 / \ 6 15 / \ \ 1 8 21 / \ 7 25
"
60,60,12.0,0.11980000138282776,"datum, structure, item, remove, data, implement, add, fast, follow, make","['follow', 'data', 'structure', 'slow', 'average', 'time', 'complexity', 'for', 'insert', 'item']","Which of the following data structures has the slowest average time complexity for inserting an item?
"
61,61,11.0,0.13349999487400055,"search, binary, list, name, find, however, average, skip, suppose, interpolation","['average', 'bad', 'case', 'search', 'time', 'for', 'give', 'element', 'skip', 'list']","What is the average and worst case search time for a given element in a skip list?
"
62,62,29.0,0.3621000051498413,"hash, table, function, number, bucket, find, use, close, step, insert","['use', 'hash', 'function', 'add', 'function', 'open', 'hash', 'table', 'hash', 'table', 'index', 'store', 'pointer', 'head', 'element', 'singly', 'link', 'list', 'store', 'value', 'add', 'hash', 'tableafter', 'follow', 'element', 'insert', 'order', 'write', 'many', 'value', 'store', 'link', 'list', 'point', 'index', 'index', 'respectively', 'note', 'head', 'pointer', 'count', 'value', 'store', 'value', 'add', 'hash', 'table']","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table itself is indexed 0 to 6 and stores pointers to the head elements of singly linked lists which store the values added to the hash table.After the following elements are inserted (in the order they are written), how many values are stored in the linked lists that are pointed to by index 0 and index 6 respectively? (Please note that the head pointer does NOT count as a value stored)Values to add to the hash table: 49, 22, 36, 135, 48, 73, 209, 105, 1042, 591, 5, 256.
"
63,63,41.0,0.24390000104904175,"sort, take, use, selection, many, order, would, bubble, quick, ascend","['take', 'follow', 'pseudocode', 'for', 'sort', 'book', 'height', 'shelf', 'shelf', 'book', 'for', 'find', 'small', 'book', 'slot', 'swap', 'small', 'type', 'occur']","Take the following pseudocode for sorting books by height on a shelf:void sort(shelf of N books){ for i = 1 to N { find the smallest book between slots i and N swap this smallest book with book i; }}Which type of sort has occurred?
"
64,64,29.0,0.10689999908208847,"hash, table, function, number, bucket, find, use, close, step, insert","['for', 'hash', 'table']","The load factor for a hash table is:
"
65,65,7.0,0.17520000040531158,"comparison, show, skiplist, factory, memory, resource, exactly, respectively, certain, produce","['datum', 'structure', 'good', 'suit', 'description', 'graphand', 'asymptotic', 'memory', 'usagefew', 'vertex', 'many', 'edge', 'dense']","Which Data Structure best suits this description of a graph,and what is it's asymptotic memory usage?few vertices and many edges (dense)
"
66,66,34.0,0.06889999657869339,"log, base, become, function, faster, sufficiently, purple, yellow, green, orange","['follow', 'hashing', 'technique', 'base', 'randomisation']","Which of the following hashing techniques is based on randomisation?
"
67,67,12.0,0.1412000060081482,"datum, structure, item, remove, data, implement, add, fast, follow, make","['produce', 'reverse', 'polish', 'notation', 'rpn', 'tree', 'make', 'operation', 'number']","Which method of tree traversal will produce reverse polish notation (RPN) from a tree made of operations and numbers?
"
68,68,35.0,0.16099999845027924,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['sort', 'algorithm', 'best', 'average', 'bad', 'case', 'time', 'complexity']","Which two sorting algorithms have a best (O), average (?), and worst-case (O) time complexity of n(log(n))?
"
69,69,23.0,0.5364000201225281,"create, deletion, state, shell, allow, record, surgery, logn, fast, must","['hire', 'surgery', 'create', 'system', 'hold', 'patient', 'record', 'surgery', 'extremely', 'busy', 'retrieve', 'record', 'must', 'fast', 'possible', 'surgery', 'state', 'previous', 'system', 'allow', 'sort', 'record', 'feature', 'longer', 'require', 'many', 'patient', 'join', 'leave', 'insertion', 'deletion', 'must', 'fast']","You have been hired by a surgery to create a system that can hold patient records. The surgery is extremely busy, so retrieving records must be as fast as possible. The surgery has stated that the previous system allowed them to sort records, but this feature was no longer required. As many patients join and leave, insertion and deletion must both be very fast.
"
70,70,47.0,0.1363999992609024,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","['sort', 'arrlength', 'for', 'int', 'for', 'int', 'if', 'name', 'bad', 'complexity', 'average', 'complexity', 'good', 'complexity']","Analyse the sorting algorithm belowvoid sort(int arr[]){ int n = arr.length; for (int i = 0; i < n-1; i++) { int min_idx = i; for (int j = i+1; j < n; j++) if (arr[j] < arr[min_idx]) min_idx = j; int temp = arr[min_idx]; arr[min_idx] = arr[i]; arr[i] = temp;}State the name of the algorithm, the worst complexity, average complexity and best complexity
"
71,71,4.0,0.5572999715805054,"store, must, number, able, book, like, quickly, application, product, could","['like', 'book', 'alphabetically', 'go', 'away', 'mother', 'buy', 'book', 'for', 'monthhowever', 'stick', 'emma', 'system', 'slide', 'book', 'wherever', 'convenient', 'rearrange', 'exist', 'come', 'home', 'vacation', 'want', 'sort', 'book', 'back', 'alphabetical', 'orderwhat', 'fast', 'could']","Emma likes to organise her book collection alphabetically. When she goes away to Uni, her mother buys a few books for her every month.However, she doesn't stick to Emma's system and just slides the books wherever it's more convenient. She doesn't rearrange the existing books.When Emma comes home on vacation, she wants to sort her books back into alphabetical order.What's the fastest algorithm that Emma could use?
"
72,72,35.0,0.10970000177621841,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['equivalent', 'sort']","A shell sort where h=1 is equivalent to which other sort?
"
73,73,35.0,0.15219999849796295,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['follow', 'search', 'algorithm', 'fastest', 'if', 'dataset', 'already', 'sort']","Which of the following search algorithms is fastest if the dataset is already sorted?
"
74,74,31.0,0.22290000319480896,"tree, node, binary, follow, avl, traversal, order, search, number, root","['output', 'pre', 'order', 'traversal', 'tree']","What is the output of pre-order traversal on this tree?
"
75,75,31.0,0.21979999542236328,"tree, node, binary, follow, avl, traversal, order, search, number, root","['consider', 'follow', 'binary', 'tree', 'would', 'outcome', 'print', 'node', 'via', 'order', 'traversal']","Consider the following binary tree:What would be the outcome of printing each node via in-order traversal?
"
76,76,41.0,0.18729999661445618,"sort, take, use, selection, many, order, would, bubble, quick, ascend","['if', 'perform', 'bubble', 'sort', 'list', 'many', 'swap', 'carry', 'pass']","If you perform a bubble sort on the list:62, 90, 14, 43, 54, 94, 18, 74, 3, 49How many swaps will have been carried out after the 5th pass?
"
77,77,29.0,0.4327000081539154,"hash, table, function, number, bucket, find, use, close, step, insert","['give', 'hash', 'function', 'open', 'hashing', 'table', 'item', 'take', 'comparison', 'find', 'if', 'follow', 'item', 'add', 'use', 'give', 'hashing', 'function']","Given the hash function of % 11 into an open hashing table, which item will take the most comparisons to find if the following items are added using the given hashing function?11, 17, 32, 132, 4, 9, 100, 34, 25, 98, 165, 77, 40.
"
78,78,35.0,0.09269999712705612,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['sort', 'algorithm', 'good', 'case', 'time', 'complexity']","Which two sorting algorithms have a best case time complexity of O(n)
"
