,Unnamed: 0,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Question
17,17,17,23.0,0.33889999985694885,"hash, table, bucket, open, insert, close, key, function, slot, closed","['use', 'hash', 'function', 'add', 'function', 'open', 'hash', 'table', 'hash', 'table', 'index', 'bucket', 'length', 'if', 'bucket', 'overflow', 'full', 'element', 'add', 'element', 'add', 'overflow', 'buckethow', 'many', 'element', 'insert', 'overflow', 'bucket', 'follow', 'element', 'insert', 'leave', 'right', 'ie', 'first', 'insert', 'last', 'insert']","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
"
18,18,18,23.0,0.20739999413490293,"number, find, take, step, item, average, many, give, second, if","['give', 'average', 'number', 'step', 'for', 'closed', 'hash', 'table', 'linear_probing', 'find', 'item']","Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
"
19,19,19,40.0,0.15790000557899475,"high, iteration, note, randomly, look_like, condition, often, unanswerable, answerable, deal","['approach', 'company', 'recommend', 'fast', 'efficient', 'sort', 'often', 'deal', 'large', 'inputs', 'numerical', 'datum', 'limited', 'storage', 'sort', 'algorithm', 'suitable']","You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
"
20,20,20,36.0,0.02459999918937683,"order, traversal, tree, post, follow, pre, level, output, use, traverse",['follow'],"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
"
21,21,21,52.0,0.02500000037252903,"order, traversal, tree, post, follow, pre, level, output, use, traverse",['follow'],"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
"
22,22,22,36.0,0.0746999979019165,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['follow', 'statement', 'regard', 'sort', 'incorrect']","Which one of the following statements regarding sorting is incorrect?
"
23,23,23,36.0,0.16249999403953552,"represent, graph, follow, exactly, apply, way, direct, give, distance, path","['give', 'least', 'exactly', 'apply', 'follow', 'true']","Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
"
24,24,24,2.0,0.19130000472068787,"tree, binary, node, avl, search, child, root, follow, height, leaf","['build', 'avl', 'tree', 'follow', 'value', 'value', 'root', 'node', 'point']","Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
"
25,25,25,2.0,0.17630000412464142,"number, find, take, step, item, average, many, give, second, if","['closed', 'hash', 'linear_probing', 'take', 'average', 'step', 'array', 'size', 'many', 'item', 'array']","A Closed Hash w/Linear Probing takes 11/2 average steps and the array is size 10.How many items are in the array?
"
26,26,26,36.0,0.18870000541210172,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['give', 'integ', 'randomly', 'order', 'bad', 'case', 'time', 'complexity', 'sort', 'come', 'efficient', 'sort', 'algorithm', 'give', 'condition']","Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
"
27,27,27,36.0,0.17100000381469727,"tree, binary, node, avl, search, child, root, follow, height, leaf","['list', 'number', 'create', 'balanced', 'avl', 'tree', 'follow', 'list', 'number', 'print', 'if', 'traverse', 'balanced', 'avl', 'tree', 'use', 'post', 'order', 'method']","The list of numbers below create a balanced AVL Tree. Which of the following lists of numbers is printed out if you traverse the balanced AVL Tree using the post order method.4, 6.7, 2, 1, 1.5, 3, 5, 7, 6, 7.5
"
28,28,28,29.0,0.18649999797344208,"for, time, complexity, search, runtime, function, none, follow, correct, give","['use', 'array', 'list', 'average', 'time', 'complexity', 'for', 'function', 'find', 'for', 'unsorted', 'array']","When using an array list what is the average time complexity for the function find(o) for an unsorted array
"
29,29,29,36.0,0.24560000002384186,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['look', 'complexity', 'bubble', 'sort', 'best', 'bad', 'case']","When looking at the complexity of doing a bubble sort, what is the best and worst case
"
30,30,30,36.0,0.1940000057220459,"order, traversal, tree, post, follow, pre, level, output, use, traverse","['consider', 'avl', 'tree', 'follow', 'insert', 'give', 'order', 'remove', 'would', 'output', 'order', 'traversal', 'tree']","Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
"
31,31,31,52.0,0.11969999969005585,"true, statement, big, follow, planation, factor, notation, position, rule, omega","['follow', 'rule', 'for', 'big', 'false']","Which of the following rules for big O is FALSE?
"
32,32,32,29.0,0.1386999934911728,"true, statement, big, follow, planation, factor, notation, position, rule, omega","['big', 'many', 'customer', 'customer', 'typically', 'send', 'payment', 'several', 'peoplewhich', 'type', 'graph', 'representation', 'would']","Big Bank has many customers (about 20,000) but its customers typically only send payments to several people.Which type of graph representation would you use?
"
33,33,33,0.0,0.18449999392032626,"order, traversal, tree, post, follow, pre, level, output, use, traverse","['give', 'tree', 'node', 'look', 'order', 'kind', 'traversal', 'describe']","Given the tree: 16 / \ 9 19 / \ / \ 2 10 17 24 /1The nodes looked at are in the order:1, 2, 10, 9, 17, 24, 19, 16What kind of traversal does this describe?
"
34,34,34,52.0,0.01669999957084656,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is ""big O"" of heapify?
"
35,35,35,0.0,0.4742000102996826,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['organise', 'party', 'close', 'friend', 'workplace', 'try', 'figure', 'work', 'send', 'invite', 'invitee', 'know', 'number', 'friendship', 'large', 'number', 'invitee', 'think', 'graph', 'would', 'help', 'figure', 'invitee', 'vertex', 'friendship', 'person', 'edgesalice', 'also', 'want', 'store', 'name', 'along', 'employee', 'would', 'number', 'digit', 'number', 'order', 'send', 'email', 'invite', 'for', 'partywhich', 'data', 'structure', 'suitable', 'for', 'use']","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
"
36,36,36,0.0,0.14640000462532046,"hash, table, bucket, open, insert, close, key, function, slot, closed","['define', 'load', 'hash', 'table']","Define the load of a hash table.
"
37,37,37,23.0,0.01669999957084656,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the time complexity of this algorithm: 5n3+ 100n2+ 0.1n3.5 + 1000n?
"
38,38,38,29.0,0.10670000314712524,"for, time, complexity, search, runtime, function, none, follow, correct, give","['feature', 'asymptotic', 'complexity']","What are the features of asymptotic complexity?
"
39,39,39,29.0,0.06350000202655792,"number, find, take, step, item, average, many, give, second, if","['big_theta', 'complexity', 'equation']","Big Theta Complexity Equation:
"
40,40,40,36.0,0.17630000412464142,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['list', 'operation', 'best', 'average', 'bad', 'case', 'runtime', 'complexity']","Which Array List operation has the same best, average and worst case runtime complexity?
"
41,41,41,36.0,0.10909999907016754,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['bad', 'case', 'run', 'time', 'try', 'find', 'element', 'avl', 'tree', 'consist', 'element']","What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
"
42,42,42,29.0,0.16179999709129333,"for, time, complexity, search, runtime, function, none, follow, correct, give","['follow', 'good', 'describe', 'run', 'time', 'for', 'while', 'good', 'luck', 'exam', 'for']","Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
"
43,43,43,51.0,0.17430000007152555,"store, close, want, difficulty, label, stepsopen, hashtable, collisionsthis, counter, presume","['consider', 'close', 'hashtable', 'linear_probe', 'suppose', 'want', 'store', 'item', 'want', 'step', 'find', 'item', 'less', 'consider', 'loadl', 'small', 'whole', 'number', 'bucket']","Consider a closed hashtable H with linear probing. Suppose we want to store up to 900 items in H, and we want theaverageamount of steps to find any item to be less than 2.By considering the loadL, what is the smallest (whole) number of buckets H can have?
"
44,44,44,21.0,0.22769999504089355,"option, heap, select, insertionsort, let, selectionsort, technique, design, joke, funny","['many', 'method', 'consider', 'design', 'select', 'option', 'proper', 'design', 'technique']","There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
"
45,45,45,21.0,0.22769999504089355,"option, heap, select, insertionsort, let, selectionsort, technique, design, joke, funny","['many', 'method', 'consider', 'design', 'select', 'option', 'proper', 'design', 'technique']","There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
"
46,46,46,21.0,0.22059999406337735,"int, if, for, while, return, follow, code, mean, sum, new","['complexity', 'follow', 'algorithmfor', 'int', 'for', 'int', 'return']","What is the complexity of the following algorithm?for(int i=0;i<n;i++) for (int j=0;j<i;j++) return i+j; }}
"
47,47,47,36.0,0.38339999318122864,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['follow', 'sort', 'algorithm', 'equivalent', 'best', 'bad', 'average', 'time', 'unstable', 'for', 'example', 'selection', 'sort', 'best', 'bad', 'average', 'time', 'complexity', 'also', 'stable', 'thus', 'would', 'correct', 'answer', 'if']","Of the following sorting algorithms, which one has equivalent Best, Worst and Average time complexitiesandis not unstable?(For example, Selection Sort has a Best, Worst and Average time complexity of n^2. It is also stable, and thus would be a correct answer if it were there.)
"
48,48,48,36.0,0.41760000586509705,"list, link, array, false, follow, remove, insert, faster, doubly, statement","['follow', 'process', 'datum', 'structure', 'singly', 'link', 'list', 'array', 'complete', 'follow', 'task', 'describe', 'fast', 'task', 'get', 'item', 'datum', 'structuretask', 'insert', 'new', 'item', 'front', 'data', 'structuretask', 'remove', 'item', 'middle', 'datum', 'answer', 'would', 'imply', 'link', 'list', 'perform', 'task', 'fast', 'array', 'perform', 'task', 'fastest', 'link', 'list', 'perform', 'task', 'fastest', 'correct', 'answer']","Of the following processes, which data structure (Singly Linked Lists or Arrays) can complete the following tasks described faster:Task 1: Getting to the 1000th item in the data structure.Task 2: Inserting a new item at the front of the data structure.Task 2: Removing an item from the middle of the data structure.Example: An answer of [LL : A : LL] would imply that the Linked List performed task 1 fastest, the Array performed task 2 fastest, and the Linked List performed task 3 fastest.(Not the correct answer).
"
49,49,49,25.0,0.13660000264644626,"number, find, take, step, item, average, many, give, second, if","['calculate', 'give', 'hint', 'fact']","Calculate given that . (Hint: Use the fact that [x^p= x mod p] when p is prime).
"
50,50,50,40.0,0.01669999957084656,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What isDijkstra's algorithm?
"
51,51,51,36.0,0.01669999957084656,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What isDijkstra's algorithm?
"
52,52,52,27.0,0.09390000253915788,"would, use, result, determine, create, sequence, state, maxheap, num, body","['would', 'result', 'order', 'apply', 'follow', 'tree']","What would the result be when an in-order traversal is applied to the following tree? 15 / \ / \ / \ 9 13/ \ / \6 3 4 2
"
53,53,53,36.0,0.2143999934196472,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['bad', 'case', 'run', 'time', 'insertion', 'sort']","What is the worst case run time of insertion sort?
"
54,54,54,36.0,0.13279999792575836,"remove, base, set, implementation, insert, may, allow, incorrect, entity, limited","['timsort', 'utilise', 'implementation']","What other 2 algorithms does Hybrid sort ( timsort ) utilise in its implementation?
"
55,55,55,36.0,0.3050999939441681,"hash, table, bucket, open, insert, close, key, function, slot, closed","['give', 'follow', 'hash', 'table', 'use', 'linear_probing', 'hash', 'function', 'use', 'would', 'state', 'hash', 'table', 'insert']","Given the following hash table, using linear probing, where the hash function being used is ...0 1 2 3 4 5 6 7 8 9-------------------------------|5 |35| | | | | |42| | |-------------------------------...what would the state of the hash table be after inserting 32, 27 and then 6?
"
56,56,56,23.0,0.26350000500679016,"maximum, problem, random, integer, solve, fill, interface, product, similar, anywhere","['consider', 'follow', 'problem', 'give', 'array', 'integer', 'find', 'maximum', 'product', 'integer', 'array', 'for', 'example', 'consider', 'array', 'maximum', 'product', 'form', 'pairwhat', 'complexity', 'efficient', 'algorithm', 'solve', 'problem']","Consider the following problem:Given an array of integers, find the maximum product of two integers in the array. For example, consider the array [ -10, -3, 5, 6 , -2 ]. The maximum product is formed by either the (-10, 3) or (5, 6) pair.What is the complexity of the most efficient algorithm that solves this problem?
"
57,57,57,23.0,0.2642999887466431,"hash, table, bucket, open, insert, close, key, function, slot, closed","['follow', 'would', 'solution', 'hash', 'collision', 'insert', 'hash', 'table']","Which of the following would NOT be a solution to a hash collision when inserting into a hash table?
"
58,58,58,23.0,0.21780000627040866,"would, use, result, determine, create, sequence, state, maxheap, num, body","['consider', 'unordered', 'complete', 'binary', 'tree', 'contain', 'letter', 'know', 'traversal', 'tree', 'result', 'sequence', 'postorder', 'traversal', 'result', 'sequence', 'result', 'inorder', 'traversal']","Consider an unordered complete binary tree containing all letters from A to G. Knowing that a preorder traversal of the tree results in the sequence [ B, G, C, D, A, E, F ] and a postorder traversal results in the sequence [C, D, G, E, F, A, B ], what results from an inorder traversal?
"
59,59,59,27.0,0.17919999361038208,"list, link, array, false, follow, remove, insert, faster, doubly, statement","['follow', 'could', 'reason', 'for', 'choose', 'skip', 'list', 'link', 'list']","Which of the following COULD be a reason for choosing to use a skip list over a linked list?
"
60,60,60,25.0,0.1736000031232834,"tree, binary, node, avl, search, child, root, follow, height, leaf","['maximum', 'height', 'perfectly_balanced', 'search', 'tree', 'size']","What is the maximum height of a perfectly balanced search tree of size n (2019 Lecture 8a slide 28)
"
61,61,61,24.0,0.226500004529953,"value, balance, rotation, unbalanced, clockwise, become, dependant, occur, bst, insert","['consider', 'balanced', 'avl', 'tree', 'avl', 'tree', 'attempt', 'balance', 'whenever', 'become', 'unbalanced', 'use', 'rotation', 'algorithmif', 'insert', 'number', 'tree', 'perform', 'post', 'order', 'traversal', 'printing', 'value', 'output']","Consider a balanced AVL Tree as below: 5 / \ 3 6 \ 7This AVL Tree will attempt to balance itself whenever it become unbalanced using a rotation algorithm.If we insert the number 9 to the tree and then perform a post order traversal printing the values in the tree.What is the output?
"
62,62,62,24.0,0.09700000286102296,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['follow', 'input', 'make', 'insertion', 'sort', 'descend', 'order', 'perform', 'large', 'number', 'operation']","Which of the following input arrays makes insertion sort in descending order perform the largest number of operations?
"
63,63,63,36.0,0.0908999964594841,"tree, binary, node, avl, search, child, root, follow, height, leaf","['maximum', 'possible', 'number', 'element', 'binary', 'tree', 'depth']","What is the maximum possible number of elements in a binary tree of depth 7?
"
64,64,64,23.0,0.2678999900817871,"hash, table, bucket, open, insert, close, key, function, slot, closed","['many', 'different', 'insertion', 'sequence', 'key', 'value', 'use', 'hash', 'function', 'close', 'hash', 'table', 'linear_probing', 'give']","How many different insertion sequences of the key values, using the hash function h(k)=k mod 10, will result in the closed hash table with linear probing given below?
"
65,65,65,23.0,0.01669999957084656,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the method forSelection Sort?
"
66,66,66,29.0,0.2070000022649765,"for, time, complexity, search, runtime, function, none, follow, correct, give","['take', 'for', 'for', 'for', 'asymptotic', 'complexity', 'likely']","An algorithm takes 1s for n = 200, 1000s for n = 2000 and 8000s for n = 4000.Which asymptotic complexity does it likely have?
"
67,67,67,29.0,0.08479999750852585,"list, link, array, false, follow, remove, insert, faster, doubly, statement","['list', 'quick', 'average', 'run', 'time', 'for', 'insert', 'if']","Which one of the List has the quickest average run time for insert() if n >= 1000;
"
68,68,68,25.0,0.08020000159740448,"list, link, array, false, follow, remove, insert, faster, doubly, statement","['follow', 'statement', 'sort', 'algorthms', 'false']","Which of the following statements about sorting algorthms is false?
"
69,69,69,36.0,0.2558000087738037,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['insert', 'value', 'searchtree', 'bad', 'case', 'average', 'case', 'time', 'complexity']","When inserting a value into aBinary SearchTree, what is the worst case and average case time complexity?
"
70,70,70,38.0,0.661300003528595,"datum, structure, data, space, implement, possible, memory, store, work, for","['hire', 'housing', 'create', 'system', 'allow', 'keep', 'track', 'address', 'currently', 'available', 'spend', 'many', 'decade', 'support', 'people', 'area', 'find', 'perfect', 'home', 'recently', 'begin', 'fall', 'behind', 'new', 'tech', 'base', 'company', 'determine', 'catch', 'ensure', 'provide', 'high', 'quality', 'service', 'canthe', 'system', 'require', 'follow', 'quality', 'must', 'quick', 'search', 'for', 'give', 'address', 'find', 'whether', 'currently', 'store', 'system', 'access', 'detail', 'speed', 'important', 'space', 'use', 'ensure', 'user', 'leave', 'wait', 'for', 'long', 'while', 'system', 'run', 'easy', 'add', 'new', 'address', 'system', 'become', 'available', 'remove', 'take', 'market', 'datum', 'need', 'sorted', 'employee', 'personally', 'work', 'customer', 'recommend', 'different', 'home', 'search', 'for', 'entry', 'directly', 'rough', 'estimate', 'many', 'address', 'need', 'store', 'give', 'time', 'number', 'tend', 'vary', 'large', 'margin', 'throughout', 'year', 'due', 'seasonal', 'buyerswhich', 'datum', 'structure', 'implement', 'new', 'system']","You have been hired by the Housing Opportunities of Northern Delaware Association to create a system which allows them to keep track of which addresses they currently have available. They have spent many decades supporting the people of the area in finding the perfect home, but have recently began to fall behind newer tech-based companies, and are determined to catch up and ensure they provide the highest quality service they can.The system is required to have the following qualities:- It must be quick to search for a given address, to find whether or not it is currently stored in the system, and to access its details. Speed is more important than space used, to ensure users are not left waiting for too long while the system runs.- It should be easy to add new addresses to the system as they become available, and to remove them once they are taken off the market.- The data does not need to be sorted, as employees personally work with each customer to recommend different homes, and so will be searching for entries directly.- You have only a rough estimate of how many addresses will need to be stored at a given time, and the number tends to vary by a large margin throughout the year due to seasonal buyers.Which data structure should you implement in the new system?
"
71,71,71,38.0,0.17239999771118164,"need, top, last, much, tell, company, operate, copy, push, stock","['datum', 'structure', 'operate', 'last', 'last', 'fashion']","A “stack” data structure operates in a last in last out fashion.
"
72,72,72,57.0,0.16599999368190765,"tree, binary, node, avl, search, child, root, follow, height, leaf","['many', 'case', 'remove', 'node', 'binary', 'search', 'tree']","How many cases are there when we are removing a node from a binary search tree?
"
73,73,73,2.0,0.15940000116825104,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['follow', 'data', 'structure', 'bad', 'case', 'space', 'complexity']","Which of the following data structures has a worst case space complexity of O(n log n)?
"
74,74,74,25.0,0.2071000039577484,"for, time, complexity, search, runtime, function, none, follow, correct, give","['exponential', 'time', 'complexity', 'slow', 'factorial', 'time', 'complexity']","Exponential time complexity is slower than factorial time complexity
"
75,75,75,29.0,0.08959999680519104,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['example', 'follow', 'type', 'algorithm']","Dijkstra algorithm is a example of which of the following type of algorithm
"
76,76,76,12.0,0.0869000032544136,"value, balance, rotation, unbalanced, clockwise, become, dependant, occur, bst, insert","['rotation', 'operation', 'would', 'need', 'perform', 'balance', 'avl', 'tree']","Which rotation operations would need to be performed to balance this AVL Tree? F / \ A M / \ H X / \ G J
"
77,77,77,46.0,0.4205999970436096,"multiple, map, see, travel, happen, initially, direct, slope, lift, ski","['finished', 'level', 'map', 'ski', 'lift', 'travel', 'slope', 'see', 'case', 'use', 'multiple', 'ski', 'lift', 'quicker', 'use', 'direct', 'lineuse', 'short', 'route', 'slope', 'base', 'camp']","You have just finished your A-levels and are on a gap yaaa in Switzerland skiing,You have a map that showsyou the ski lifts to travel between slopes, seen aboveIn some cases, using multiple ski lifts is quicker than using the direct line.Using Dijkstras algorithm, calculate the length of the shortest route to each slope from the base camp.
"
78,78,78,46.0,0.249099999666214,"order, traversal, tree, post, follow, pre, level, output, use, traverse","['pre', 'order', 'follow', 'tree', 'give', 'output']","Pre-Order traversal on the following tree will give which output? 9 / \ 6 15 / \ \ 1 8 21 / \ 7 25
"
79,79,79,2.0,0.2513000071048737,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'option', 'advantage', 'use', 'avl', 'tree', 'rather', 'binary', 'search', 'tree']","Which one of the following options is an advantage of using an AVL Tree rather than a Binary Search Tree?
"
80,80,80,2.0,0.11180000007152556,"hash, table, bucket, open, insert, close, key, function, slot, closed","['great', 'hash', 'table', 'low', 'number', 'step', 'require', 'search', 'table', 'for', 'value']","The greater the load factor of a hash table, the lower the number of steps required to search the table for a value.
"
81,81,81,23.0,0.15489999949932098,"for, time, complexity, search, runtime, function, none, follow, correct, give","['follow', 'data', 'structure', 'slow', 'average', 'time', 'complexity', 'for', 'insert', 'item']","Which of the following data structures has the slowest average time complexity for inserting an item?
"
82,82,82,25.0,0.15559999644756314,"for, time, complexity, search, runtime, function, none, follow, correct, give","['average', 'bad', 'case', 'search', 'time', 'for', 'give', 'element', 'skip', 'list']","What is the average and worst case search time for a given element in a skip list?
"
83,83,83,36.0,0.2380000054836273,"hash, table, bucket, open, insert, close, key, function, slot, closed","['use', 'hash', 'function', 'add', 'function', 'open', 'hash', 'table', 'hash', 'table', 'index', 'store', 'pointer', 'head', 'element', 'singly', 'link', 'list', 'store', 'value', 'add', 'hash', 'tableafter', 'follow', 'element', 'insert', 'order', 'write', 'many', 'value', 'store', 'link', 'list', 'point', 'index', 'index', 'respectively', 'note', 'head', 'pointer', 'count', 'value', 'store', 'value', 'add', 'hash', 'table']","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table itself is indexed 0 to 6 and stores pointers to the head elements of singly linked lists which store the values added to the hash table.After the following elements are inserted (in the order they are written), how many values are stored in the linked lists that are pointed to by index 0 and index 6 respectively? (Please note that the head pointer does NOT count as a value stored)Values to add to the hash table: 49, 22, 36, 135, 48, 73, 209, 105, 1042, 591, 5, 256.
"
84,84,84,23.0,0.28200000524520874,"choose, log, type, small, wrong, memory, requirement, meet, back, book","['take', 'follow', 'pseudocode', 'for', 'sort', 'book', 'height', 'shelf', 'shelf', 'book', 'for', 'find', 'small', 'book', 'slot', 'swap', 'small', 'type', 'occur']","Take the following pseudocode for sorting books by height on a shelf:void sort(shelf of N books){ for i = 1 to N { find the smallest book between slots i and N swap this smallest book with book i; }}Which type of sort has occurred?
"
