Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Which of the max heaps A-H could be represented in an array?
", , , , ," B, C and E.
","For a max heap to be representable as an array, it must be either a complete binary tree or a almost-complete binary tree where the bottom row stops part way along from left to right. If a max heap didn't satisfy this condition then there would be a gap in the array.A is not a complete binary treenor an almost complete binary tree.Bis a complete binary tree so can be represented in amax heap array.Cis an almost complete binary tree. The right child of node '42' is missing but this wouldn't leave a gap in the array as all other leaf nodes in the bottom level to its left are present and there are no leaf node to the right of the missing node. This tree could be represented in amax heap arrayDis not a complete binary tree nor an almost complete binary treeso there would be gaps in the array.E is an almost complete binary tree so could be represented in a max heap array.Fis not a complete binary tree nor an almost complete binary tree.G is not a complete binary treenor an almost complete binary tree.H is not a complete nor an almost complete binary tree.Max heapsB, C and Esatisfy the conditions so could be represented in an arrayWeek 5 - Lecture B - Slide 5
",
"Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
","O(N)
", , , , ,"The answer is A: O(N).Use the partition algorithm from quick sort. This works by choosing the first element as your pivot and then sorting every other element in relation to that pivot. As this only requires you to iterate through the array once it has complexity O(N).
",
"Which of the following does the method used to find a number in a phone book most closely resemble?
", , ,"Interpolation Search
", , ,,"jj716 (jj716)
"
"Consider the following binary search treeWhen completing a post order traversal what is the correct order
", ,"Jacqueline, Jenny, James, Katherine, Martha , Kenny , Jill
", , , ,,"jbersey15 (jsb73)
"
"Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
", ,"2, 9, 10, 10, 21, 69, 79
", , , ,"The balanced AVL tree looks like this: 10 / \ 2 21 \ / \ 9 10 69 \ 79In Order traversal works by going through all left nodes, then root and finally right nodes, thus the answer is2, 9, 10, 10, 21, 69, 79.
",
"Which of the following rules for big O is FALSE?
", , , ,"If g1(n) = O(f1(n)) and g2(n) = O(f2(n)), then g1(n)f1(n) = O(g2(n)f2(n))
", ,"A: The rule is sums, bigger function always dominates.B: The rule is scaling, constants do not matter in time complexity.C: The rule is transitivity,if A = B, and B = C, then also A = C.D: The rule is products, however the answer should beg1(n)g2(n) = O(f1(n)f2(n)) instead.
",
"Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
", , ,"Adjacency matrix for the seating plan, open hash table for the invites.
", , ,"An adjacency matrix is the most suitable data structure for the seating plan, as the matrix will be dense (many edges compared to vertices). See 2019 Lecture 17 on Graphs, slide 17.An open hash table is the most suitable data structure for the invites, as it stores both the data and a key, which in this case is the employee ID number. See 2019 Week10b slides.
",
"What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
", , ,"T(log m) + T(n)
", , ,"T(log n), where n is the number of elements, is the time taken to search an AVL tree. Given that the number of elements ism * 2n, the complexity becomesT(log (m * 2n)) =T(log m) + T(log (2n)) =T(log m) + T(n log(2)) =T(log m) +T(n).
",
"Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
","T(N2+ NT)
", , , , ,"The outer for loop will loop N times. Within this, the while loop will run up to N times, and the for loop will run T times.So the complexity isT(N(N+T)) =T(N2 + NT).
",
"What is theoretical analysis of an algorithm?
", , ,"Predicting the trend of the complexity as large data sets are used.
", , ,,"eb2006 (eb2006)
"
"Listed below are sorting algorithms that are considered to be stable. However, one of them can be unstable depending on the implementation. Please select that sort.
", , ,"Selection Sort
", , ,,"tu241 (tu241)
"
"Consider a closed hashtable H with linear probing. Suppose we want to store up to 900 items in H, and we want theaverageamount of steps to find any item to be less than 2.By considering the loadL, what is the smallest (whole) number of buckets H can have?
", , , ,"1350
", ,"First we calculate the loadL by using the formula for closed hashmaps with linear probing; average number of steps = 0.5 * (1 + 1/(1 - L)). Since we want the average number of steps to be less than 2, we pick 2 equal to average number of steps to give 1 + 1(1 -L) = 4, orL = 2/3. Therefore sinceL is equal to the total intended items over the amount of buckets B, 900 = 2/3 *B. If B is any smaller than this thenL must be greater and we do not have the desired step efficiency, so we want the smallest integer bigger than or equal to theB this formula gives us. Luckily, from this we getB = 1350, so this is our answer.Source of idea: Week10b-Hashtable Slide 31
",
"There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
", ,"Static Programming
", , , ,,"tu241 (tu241)
"
"Of the following sorting algorithms, which one has equivalent Best, Worst and Average time complexitiesandis not unstable?(For example, Selection Sort has a Best, Worst and Average time complexity of n^2. It is also stable, and thus would be a correct answer if it were there.)
", ,"Merge Sort.
", , , ,"(Information obtained from 2019 Lecture 7a, slide 5)Algorithm time complexities in order: Best, Average, Worst.Quick: nlogn , nlogn , n^2 (Quick Sort is the only unstable algorithm here so can be instantly ruled out, the rest are stable.)Merge: nlogn , nlogn, nlognBubble: n , n^2 , n^2Insertion: n , n^2 , n^2From these options, Merge Sort is the correct answer as it is the only stable algorithm with all 3 cases having the same time complexity (namely nlogn).
",
"Of the following processes, which data structure (Singly Linked Lists or Arrays) can complete the following tasks described faster:Task 1: Getting to the 1000th item in the data structure.Task 2: Inserting a new item at the front of the data structure.Task 2: Removing an item from the middle of the data structure.Example: An answer of [LL : A : LL] would imply that the Linked List performed task 1 fastest, the Array performed task 2 fastest, and the Linked List performed task 3 fastest.(Not the correct answer).
", , , ,"[A : LL : LL]
", ,"(Week 3b 2019, slide 13)Task 1: Arrays are faster since we can get to item 1000 in 1 step, whereas in a Linked List we must pass through 999 nodes to reach the 1000th node.Task 2: Lists are faster since it takes very few steps to update nodes, whereas in an Array we must shift every element after the insertion point to the right.Task 3: Lists are faster for similar reasons to Task 3, but shifting left instead of right.This implies the answer [A : LL : LL].
",
"Calculate given that . (Hint: Use the fact that [x^p= x mod p] when p is prime).
", ,"a = 3.
", , , ,"Using Fermat's Little Theorem (2019 week 11b, slide 12), we have that[x^p = x mod p] when p is prime. Noticing that 51 = 3 * 17, we let p = 17 (which is prime), and x = 7.Thus we obtain that 7^17= 7 mod 17.From which wee see that 7^51 = (7^17)^3 and so 7^51 = 7^3 mod 17 = 3 mod 13, and we are finished.
",
"What isDijkstra's algorithm?
", ,"A shortest path algorithm
", , , ,"(Purposefully not chosen a topic to not give answer away)
","andrewwardle (atw38)
"
"What isDijkstra's algorithm?
", ,"A shortest path algorithm
", , , ,"(Purposefully not chosen a topic to not give answer away)
","andrewwardle (atw38)
"
"Bob decides to run three sorting algorithms in a row, named a, b and c respectively. Given n = 16, which of these functions would takes the largest number of comparisons assuming the data begins in a ""worst case"" situation (2019 week 7a slide 5)
", ,"1. insertion sort2. insertion sort3. merge sort
", , , ,,"ram72 (ram72)
"
"Consider the following problem:Given an array of integers, find the maximum product of two integers in the array. For example, consider the array [ -10, -3, 5, 6 , -2 ]. The maximum product is formed by either the (-10, 3) or (5, 6) pair.What is the complexity of the most efficient algorithm that solves this problem?
", ,"n
", , , ,"The answer is n.The most efficient algorithm traverses once through the array in order to find the 2 largest and 2 smallest (also smaller than 0) elements and compares the products.
",
"Consider an unordered complete binary tree containing all letters from A to G. Knowing that a preorder traversal of the tree results in the sequence [ B, G, C, D, A, E, F ] and a postorder traversal results in the sequence [C, D, G, E, F, A, B ], what results from an inorder traversal?
", , ,"C, G, D, B, E, A, F
", , ,"We traverse by visiting the left subtree first, then the root, then the right subtree for each node of the tree, thus the inorder traversal is C, G, D, B, E, A, F.
",
"Using an ascending order merge sort, which of these inputs requires the highest possible number of comparisons?
", , , , ," All of the above.
","A merge sort always makes the same number of comparisons regardless of input order. The number of comparisons made is equal to n log2 n
",
"What is the maximum height of a perfectly balanced search tree of size n (2019 Lecture 8a slide 28)
","log(n)
", , , , ,"The answer is log(n) because the number of nodes in a row is equal to 2x where x is the number of the row. Therefore the answer is log(n) as this is the inverse of 2x
",
"A bubble sort algorithm takes 2ms to sort a list of 100 elements. How long should it take to sort 100000 (105) elements?
", , , , ," 2000 seconds
","Bubble sort has a time complexity of O(n2). Using this we can calculate the time constant of the algorithm by doing 1002 / 2 which is 5000. We can then calculate the time taken by doing 1000002 / 5000 which is 2000000 milliseconds or 2000 seconds.
",
"What order would the elements of the following tree be processed in aPost Order Traversal? 5 / \ 3 7 / / \ 2 6 9
", ,"(2,3,6,9,7,5)
", , , ,,"lewist (lt508)
"
"What is the maximum possible number of elements in a binary tree of depth 7?
", ,"255
", , , ,"The number of nodes possible in a binary tree of depth d is 2d+1- 1(Week 7b, slide 11).27+1- 1 = 256 - 1 = 255
",
"How many different insertion sequences of the key values, using the hash function h(k)=k mod 10, will result in the closed hash table with linear probing given below?
", , , ,"40
", ,"The first key which is not at the index computed by hash function is 42. It means index 2 and 3 were already occupied and therefore, key 42 is placed at index 4.The keys 72 and 33 are present at index 2 and 3 respectively. As these keys are at their correct position, their order of insertion does not matter. These 2 keys can be inserted in 2! = 2 ways. Therefore, the sequence will be any order of (72, 33) followed by 42.The next key which is not at the index computed by hash function is 31. It means indexes 1 to 5 were already occupied and key 31 is placed at index 6. Therefore, it is the last key to be inserted into hash table.The keys 61 and 25 are each present at their correct position computed by the hash function. Therefore, they can be inserted at any place in the sequence before 31. The sequence excluding 31 has so far 3 elements (72, 33, 42), which create 4 positions for 61 (2 in-between and 2 corners). Now we have 4 elements in the sequence excluding 31, and so there 5 positions for 25 (3 in-between and 2 corners).Total number of ways is: 2*4*5 =40.
",
"Select the correct definition for a full binary tree.
", ,"All nodes have 0 or 2 children.
", , , ,,"av2020 (av533)
"
"Which one of the List has the quickest average run time for insert() if n >= 1000;
", , ,"Doubly Linked List
", , ,"The correct answer is C because the average run time for insert() for each List is:Array List =?(n)Singly Linked List =?(n)Doubly Linked List = ?(1)Skip List =?(log n)When n >= 100?(1) <?(log n) <?(n)
",
"Imagine you are sorting a bookshelf. As you are a conscientious computer scientist, you know better than to use the bubble sort algorithm. However, you are also very tired and don't want to implement a much more complex algorithm. You decide to sort the books by doing one pass from left to right using bubble sort to find the last book, and then another pass from right to left, again using bubble sort, to find the first book. Is this actually faster than doing a simple bubble sort?
", ,"Depends on the starting order of the books
", , , ,,"tb791 (tb791)
"
"Use Fermat's little theorem (specifically xp = x (mod p) where p is prime, Week 11b 2019, slide 12)to calculate 360% 29.
", , , , ," 23
","Usingxp = x (mod p) where p is prime, we choose p to be 29 and x to be 3, hence 329= 3 (mod 29)(1) Now we see that 360= 3(29 * 2) + 2=(329)2* 32.(2) Since329 = 3 (mod 29), (329)2= 9 (mod 29).Putting this all together, we get 9 (from (2)) * 9 (last component of (1)) (mod 29), which is 81(mod29). So the answer is 23 (mod 29).
",
"You have been hired by the Housing Opportunities of Northern Delaware Association to create a system which allows them to keep track of which addresses they currently have available. They have spent many decades supporting the people of the area in finding the perfect home, but have recently began to fall behind newer tech-based companies, and are determined to catch up and ensure they provide the highest quality service they can.The system is required to have the following qualities:- It must be quick to search for a given address, to find whether or not it is currently stored in the system, and to access its details. Speed is more important than space used, to ensure users are not left waiting for too long while the system runs.- It should be easy to add new addresses to the system as they become available, and to remove them once they are taken off the market.- The data does not need to be sorted, as employees personally work with each customer to recommend different homes, and so will be searching for entries directly.- You have only a rough estimate of how many addresses will need to be stored at a given time, and the number tends to vary by a large margin throughout the year due to seasonal buyers.Which data structure should you implement in the new system?
", , ,"An Open Hash Table
", , ,"A Hash Table is the optimal data structure for the system. Linked Lists and Tree structures require you to search through a potentially large number of nodes to find a specific address, while hashing allows you to jump either straight to the required data or at least very close to it.Unlike a Closed Hash Table, Open Hash Tables are able to grow out linked lists as more data is added instead of simply filling up. Open Hashing also requires a much lower average number of steps to find any given piece of data.
",
"How many cases are there when we are removing a node from a binary search tree?
", ,"3
", , , ,"There are 3 cases:One node is a leafOne node has one childOne node has two children
",
"How many nodes are accessed during a breadth-first search for the number 11 in the following tree:
", , , , ," 5
","Breadth-first search first checks the root node, then its children (left then right). This is a recursive operation, so each time the child nodes are checked, their children are checked (left then right) too.This is more easily defined as a recursive function:boolean search(TreeNode node, int elementToFind){ return (node.value == elementTofind) || search(node, node.left) || search(node, node.right);}As a result, each element is accessed at each level, left to right, like so:12, 8, 18, 5, 11, 17, 4
",
"Which of the following data structures has a worst case space complexity of O(n log n)?
", , , ,"Skip List
", ,"Skip List - every other data structure has a O(n) space complexity. However, the skip list has a greater size because each new node added does not add a constant number of pointers, but rather an increasing number (think of the number of lanes and how it increases when more elements are added: more lanes = more pointers).
",
"Which one of the following sorting algorithms order is the correct descending order in term of best run time if n >= 100?
", , , , ," Selection sort > Insertion sort > Merge sort
","E is correct because the best run time for each algorithm is:Selection sort = ?(n^2)Merge sort = ?(nlog(n))Insertion sort = ?(n)For n >= 100:?(n^2) > ?(n) > ?(nlog(n))
",
"Dijkstra algorithm is a example of which of the following type of algorithm
", , , ,"greedy
", ,"The answer is D because greedy algorithms make the optimal choices at each step in other to find the overall optimal way of solving the problem
",
"Pre-Order traversal on the following tree will give which output? 9 / \ 6 15 / \ \ 1 8 21 / \ 7 25
", ,"9, 6, 1, 8, 7, 15, 21, 25
", , , ,"See the lecture slides from week 7b pre-order traversal. This take the element from the left as you traverse the tree which gives option B
",
"Which of the following data structures has the slowest average time complexity for inserting an item?
", , ,"Skip List
", , ,"A Skip List has an average time complexity ofT(log(n) for insertion making it the slowest compared toT(n) for an Array andT(1) for the Hash Table, Stack and Queue.
",
"What is the average and worst case search time for a given element in a skip list?
", , , ,"Worst Case: O(n)Average Case: O(log n)
", ,"See skip list run time slide in lecture 3b.Land log(n) -1 skips approximatly n/2 nodes for average case of O(log n)and for worst case the skip list is unable to skip any elements meaning it is a linear search og O(n)
",
"I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table itself is indexed 0 to 6 and stores pointers to the head elements of singly linked lists which store the values added to the hash table.After the following elements are inserted (in the order they are written), how many values are stored in the linked lists that are pointed to by index 0 and index 6 respectively? (Please note that the head pointer does NOT count as a value stored)Values to add to the hash table: 49, 22, 36, 135, 48, 73, 209, 105, 1042, 591, 5, 256.
", , , ,"2 and 3 respectively
", ,"49 % 7 = 022 % 7 = 136 % 7 = 1135 % 7 = 248 % 7 = 673 % 7 = 3209 % 7 = 6105 % 7 = 01042 % 7 = 6591 % 7 = 35 % 7 = 5256 % 7 = 4Hence 2 items are stored at index 0 and 3 items are stored at index 6
",
"Take the following pseudocode for sorting books by height on a shelf:void sort(shelf of N books){ for i = 1 to N { find the smallest book between slots i and N swap this smallest book with book i; }}Which type of sort has occurred?
", , , ,"Selection sort
", ,"This is a selection sort algorithm which repeatedly finds the smallest book and puts it at the start of the shelf.
",
"The load factor for a hash table is:
", , , ,"The number of occupied locations divided by the capacity
", ,"The load factor is defined as:load factor = n/k,where n is the number of locations occupied in the hash table and k is the number of bucketsThe load factor should be less than 1
",
"Which Data Structure best suits this description of a graph,and what is it's asymptotic memory usage?few vertices and many edges (dense)
","Adjacency Matrix?(v^2)
", , , , ,,"a4k (ajl96)
"
"Which of the following hashing techniques is based on randomisation?
", , , ,"Universal hashing
", ,,"aureliacretu (ac2590)
"
"Which method of tree traversal will produce reverse polish notation (RPN) from a tree made of operations and numbers?
", , ,"Post-Order Traversal
", , ,,"mj694 (mj694)
"
"Which two sorting algorithms have a best (O), average (?), and worst-case (O) time complexity of n(log(n))?
", , ,"Merge Sort & Heap Sort
", , ,"Bubble Sort has a best-case time complexity ofO(n), an average-case of?(n^2) and a worst-case ofO(n^2) so it cannot be A or E.Quick Sort has a worst-case time complexity ofO(n^2) so it cannot be B or D.This leaves C with Merge and Heap Sort which do have a time complexity of n(log(n)) for each of best, average and worst cases.Full table of time complexities can be found in the slides of lecture week7A 2019.
",
"You have been hired by a surgery to create a system that can hold patient records. The surgery is extremely busy, so retrieving records must be as fast as possible. The surgery has stated that the previous system allowed them to sort records, but this feature was no longer required. As many patients join and leave, insertion and deletion must both be very fast.
","Hash Table (Open Hashing)
", , , , ,"Evidently, due to the need for extremely fast lookup times, a hash table is required with its O(1) complexity. This works well as the data will not need to be sorted. The open hashing table should be chosen, as deletion is much easier when compared to the closed hashing table, while still maintaining fast insertion.
",
"Analyse the sorting algorithm belowvoid sort(int arr[]){ int n = arr.length; for (int i = 0; i < n-1; i++) { int min_idx = i; for (int j = i+1; j < n; j++) if (arr[j] < arr[min_idx]) min_idx = j; int temp = arr[min_idx]; arr[min_idx] = arr[i]; arr[i] = temp;}State the name of the algorithm, the worst complexity, average complexity and best complexity
", , ,"Selection sort, n^2, n^2, n^2
", , ,"C is the right answer because the algorithm is a selection sort and the worst, average and best complexity of selection sort is n^2
",
"Emma likes to organise her book collection alphabetically. When she goes away to Uni, her mother buys a few books for her every month.However, she doesn't stick to Emma's system and just slides the books wherever it's more convenient. She doesn't rearrange the existing books.When Emma comes home on vacation, she wants to sort her books back into alphabetical order.What's the fastest algorithm that Emma could use?
", , ,"Insertion sort
", , ,"Insertion sort is fastest for nearly sorted data.Heap sort, merge sort and quick sort don't adapt to nearly sorted data.
",
"A shell sort where h=1 is equivalent to which other sort?
", ,"Insertion sort
", , , ,"Insertion sort is effectively a special case of the shell sort, with h=1
",
"Which of the following search algorithms is fastest if the dataset is already sorted?
","Bubble sort
", , , , ,,"mjs209 (mjs209)
"
"What is the output of pre-order traversal on this tree?
", ,"8,3,1,6,4,7,10,14,13
", , , ,,"oof26 (oof26)
"
"Consider the following binary tree:What would be the outcome of printing each node via in-order traversal?
", ,"D B G E H A C F
", , , ,"In-order traversal considers the left node, current node, and right node, in that order, traversing recursively.
",
"If you perform a bubble sort on the list:62, 90, 14, 43, 54, 94, 18, 74, 3, 49How many swaps will have been carried out after the 5th pass?
","23
", , , , ,"62, 14, 43, 54, 90, 18, 74, 3, 49, 94 - 7 swaps in 1stpass14, 43, 54, 62, 18, 74, 3, 49, 90, 94 - 7 swaps in 2nd pass14, 43, 54, 18, 62, 3, 49, 74, 90, 94 - 3 swaps in 3rdpass14, 43, 18, 54, 3, 49, 62, 74, 90, 94 - 3 swaps in 4th pass14, 18,43, 3, 49, 54, 62, 74, 90, 94 - 3 swaps in 5thpass7 + 7 + 3 + 3 +3 = 23 swaps
",
"Given the hash function of % 11 into an open hashing table, which item will take the most comparisons to find if the following items are added using the given hashing function?11, 17, 32, 132, 4, 9, 100, 34, 25, 98, 165, 77, 40.
", ,"77
", , , ,"In an open hashing table when a value is found it is stored in a data structure such as a list or an array. This means that duplicates are stored later in the list/array and more comparisons are needed to find the item as you will need to compare the searched for value against every item before it as you can not know if it is actually stored otherwise. In this case 0 is the most popular value at 4 values and so the last item to be added will require the most comparisons (which is 77).
",
"Which two sorting algorithms have a best case time complexity of O(n)
", , , ,"insertion sort and bubble sort
", ,"Selection Sort = O(n^2)Bubble Sort = O(n)Insertion Sort = O(n) Heap Sort = O(n log(n)) Quick Sort = O(n log(n)) Merge Sort = O(n log(n))
",
"Consider you are implementing a hash table with 200 possible buckets, and intend to add a maximum of 150 keys to the table.The hash table is closed and uses linear probing.What is the average number of steps taken to insert/find an item in this hash table?
", ,"~2.5
", , , ,"1) Calculate the load factor, L by the number of keys divided by the number of buckets -> 150/200 = 0.752) Average steps = 0.5 * ( 1 - 1 / (1-L) ) = 0.5 * ( 1 - 1 / ( 0.25) ) = 2.5
",
"The result of each pass of a sorting algorithm is shown below:Initial list: 3 4 2 1 7 5 8 61st pass: 2 1 3 4 7 5 8 62nd pass: 1 2 3 4 7 5 8 63rd pass: 1 2 3 4 5 6 7 84th pass: 1 2 3 4 5 6 7 8Which sorting algorithm was used?
", , ,"Quick sort
", , ,"It just is, 3 was used as a pivot in the 1st pass, 2 and 4 used in 2nd pass, 7 used in 3rd pass, 5 used in 4th pass, and then the algorithm knows the sort is complete.
",
"Which data structure can be implemented to enable both adding at the beginning and removing at the end to have O(1) complexity?
","Ring Buffer
", , , , ,"Ring Buffer, also known as Circular Buffer,is a data structure that uses a single, fixed-size buffer as if it were connected end-to-endThe circular buffer is well-suited as a FIFO buffer
",
"Which data structure has nodes, leaves and branches?
","Tree
", , , , ,"Linked lists contain nodes but not the other two, a tree contains all three
",
"Which data structure is a degenerate binary tree most similar to?
", , , ,"Linked List
", ,"A degenerate tree is a binary tree in which each parent node has at most one child node each. This creates a tree with a height of n instead of log(n), and the tree behaves like a linked list.
",
"(529 - x) is divisible by 29, x>0. What is the smallest possible value of x?
", ,"5
", , , ,"Fermats little theorem, if p is prime, ap=a mod p
","joetucker (jt2039)
"
"(529 - x) is divisible by 29, x>0. What is the smallest possible value of x?
", ,"5
", , , ,"Fermats little theorem, if p is prime, ap=a mod p
","joetucker (jt2039)
"
"What type of partial order does this represent?(<H) = (=V) ? (<S) ? (=V)
","Horizontal order
", , , , ,,"abt (abt32)
"
"This abstract data structure uses nodes to contains its elements, has a pointer that indicates its head, or leading, element (and potentially one to indicate its tail element) and each of its nodes contains a reference to both the node ahead of it and behind it. What is it?
", , ,"Doubly Linked List
", , ,"It is a doubly linked list - seeWeek3b-TFLinkedlistsedit on Moodle.
",
